                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.70687,                0.81752,                0.60419,                0.98595,                0.81534,                0.64494,                0.71895,                0.54265,                0.74049,                0.53859,                0.57166,                0.29064,                0.80943,                0.82832,                0.69003,                 1.0839,              0.0012476,              0.0012476,              0.0012476
                     40,                0.71839,                0.86163,                0.60181,                0.98595,                0.80167,                0.63979,                 0.7171,                0.55048,                0.73553,                0.55815,                 0.5854,                0.30534,                0.80041,                0.80344,                0.69045,                 1.0816,              0.0012278,              0.0012278,              0.0012278
                     41,                0.68987,                0.79643,                0.57689,                0.97446,                0.79387,                0.66059,                0.71838,                 0.5496,                0.75416,                0.54717,                0.58489,                0.30252,                0.80214,                0.79134,                0.66548,                 1.0802,               0.001208,               0.001208,               0.001208
                     42,                0.71415,                0.85195,                0.58972,                0.98806,                0.80595,                0.66255,                0.72758,                0.55359,                 0.7458,                0.57461,                0.59179,                0.31194,                0.82103,                0.79032,                0.65764,                 1.0923,              0.0011882,              0.0011882,              0.0011882
                     43,                0.70199,                 0.8179,                0.57207,                0.97936,                0.87859,                 0.6082,                0.73153,                0.55112,                0.79325,                0.54717,                0.58791,                 0.2974,                0.82677,                0.82051,                0.67835,                 1.1078,              0.0011684,              0.0011684,              0.0011684
                     44,                0.70569,                0.84742,                0.57698,                0.98089,                0.83366,                0.65523,                0.73893,                0.56748,                0.75428,                 0.5729,                0.60153,                0.31842,                0.78788,                0.77507,                0.64149,                 1.0644,              0.0011486,              0.0011486,              0.0011486
                     45,                0.70476,                0.84895,                0.57632,                0.98018,                0.82026,                0.64666,                0.73016,                0.55476,                0.74679,                0.54889,                0.57807,                0.31123,                0.78569,                0.86073,                0.67043,                 1.0769,              0.0011288,              0.0011288,              0.0011288
                     46,                0.68968,                0.83043,                0.55728,                0.96769,                0.80038,                0.67753,                0.73281,                0.55701,                0.76709,                0.56089,                0.60552,                 0.3119,                0.79545,                0.79466,                0.65098,                 1.0808,               0.001109,               0.001109,               0.001109
                     47,                0.67581,                0.83237,                0.55315,                0.96136,                0.81868,                0.65523,                0.72886,                0.55309,                0.72141,                 0.5552,                0.57933,                0.29525,                0.79612,                0.81025,                0.65719,                  1.074,              0.0010892,              0.0010892,              0.0010892
                     48,                0.67452,                0.83027,                0.55828,                0.96647,                0.83569,                 0.6543,                0.74029,                0.56944,                0.79864,                0.55105,                0.61113,                0.30423,                0.77955,                0.76329,                0.64356,                  1.087,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68259,                0.82975,                0.56592,                0.96848,                0.83503,                0.66552,                0.73224,                 0.5535,                0.74421,                0.57888,                0.59386,                0.30173,                0.82711,                0.76248,                0.65974,                 1.1048,              0.0010496,              0.0010496,              0.0010496
                     50,                0.67408,                0.78289,                0.54947,                0.96269,                0.80039,                0.68779,                0.74346,                0.56473,                0.73329,                0.55649,                0.58274,                0.29927,                0.80437,                0.84577,                 0.6501,                 1.1037,              0.0010298,              0.0010298,              0.0010298
                     51,                0.66276,                 0.7907,                0.53183,                0.96544,                0.83639,                0.65695,                0.73275,                 0.5623,                0.75125,                0.57503,                0.58825,                0.29618,                0.79231,                0.82152,                0.67144,                 1.0702,                0.00101,                0.00101,                0.00101
                     52,                0.67154,                0.80764,                0.55439,                0.96907,                0.82607,                0.65985,                0.73068,                0.55814,                0.83117,                0.54044,                0.61303,                0.30947,                 0.8069,                0.80404,                 0.6725,                 1.0999,              0.0009902,              0.0009902,              0.0009902
                     53,                0.65204,                0.78561,                0.52359,                0.95159,                 0.8128,                0.67925,                0.72392,                0.55861,                0.74164,                0.60377,                 0.6128,                0.31004,                0.80049,                0.80687,                0.65692,                 1.0916,              0.0009704,              0.0009704,              0.0009704
                     54,                0.65638,                0.78812,                0.53337,                0.95204,                0.84434,                0.66989,                0.74078,                0.56895,                0.75325,                0.59348,                0.60825,                0.30093,                0.79658,                0.81662,                 0.6439,                    1.1,              0.0009506,              0.0009506,              0.0009506
                     55,                0.64351,                0.78652,                0.51889,                0.94708,                0.79787,                0.68382,                0.73608,                0.57042,                 0.7274,                 0.5952,                0.60857,                0.31578,                0.78231,                0.75838,                0.65647,                 1.0836,              0.0009308,              0.0009308,              0.0009308
                     56,                0.63422,                0.78673,                0.51904,                0.94562,                 0.8506,                0.65866,                0.74045,                0.57138,                0.77143,                 0.5905,                0.62455,                0.31312,                 0.7685,                0.78703,                0.65925,                  1.077,               0.000911,               0.000911,               0.000911
                     57,                0.63658,                0.75582,                0.50169,                0.94465,                0.81024,                0.67067,                0.73234,                0.56867,                 0.7222,                0.60892,                0.63495,                0.32875,                0.77496,                0.81085,                0.66181,                 1.0797,              0.0008912,              0.0008912,              0.0008912
                     58,                0.64194,                 0.7807,                0.51347,                0.94961,                0.83224,                0.66371,                0.74086,                0.58236,                0.79561,                0.57421,                0.62213,                0.30861,                 0.7691,                0.81264,                0.65249,                 1.0659,              0.0008714,              0.0008714,              0.0008714
                     59,                0.64266,                0.76148,                0.50154,                0.94587,                0.83286,                0.66669,                  0.732,                0.56467,                0.75599,                0.61407,                0.63603,                0.31988,                0.79364,                0.76213,                0.65589,                 1.0965,              0.0008516,              0.0008516,              0.0008516
